policy_id,provider,premium,hidden_charges_count,claim_settlement_pct,claim_volume,complaint_rate,n_samples,field_status,verified_fields,data_source,granularity
tata_aig_seed,Tata AIG General Insurance,9440,0,76.24,46236,0.12,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
hdfc_ergo_seed,HDFC Ergo General Insurance,16594,2,84.85,60985,7.01,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
icici_lombard_seed,ICICI Lombard General Insurance,12095,0,82.24,59973,0.73,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
new_india_assurance_seed,New India Assurance,12374,1,100.98,304456,1.89,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
united_india_insurance_seed,United India Insurance,10459,2,97.51,235108,1.44,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
national_insurance_seed,National Insurance,7938,0,96.05,316634,1.87,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
star_health_seed,Star Health and Allied Insurance,11996,2,70.3,12034,1.37,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
bajaj_allianz_seed,Bajaj Allianz General Insurance,13541,2,87.31,36031,0.75,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
sbi_general_seed,SBI General Insurance,8359,6,82.19,50602,0.44,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
care_health_seed,Care Health Insurance,15984,1,64.53,10907,0.63,1,claim_settlement_pct=REAL (IRDAI FY24-25 Annual Report); premium/hidden_charges_count/complaint_rate=PLACEHOLDER; claim_volume=ESTIMATED tier,claim_settlement_pct,"IRDAI Annual Report 2024-25, company-wise Incurred Claim Ratio (health segment)",company
